"Player","Team","Position","Type","Team","Pr","Date (EDT)","Gameweek"
"Vinicius de Souza Costa","SHU","M","Drop","1-Koke Vegas","1","Fri Apr 5, 2024, 10:50AM","32"
"Bart Verbruggen","BHA","G","Drop","1-Koke Vegas","1","Fri Apr 5, 2024, 10:50AM","32"
"Leon Chiwome","WOL","F","Drop","1-rice cooker","1","Fri Apr 5, 2024, 10:13AM","32"
"Facundo Buonanotte","BHA","M","Drop","1-Burnley and Old Trafford","1","Thu Apr 4, 2024, 5:22PM","32"
"Ryan Gravenberch","LIV","M","Claim","1-bruNO HARD FEELINGS","1","Thu Apr 4, 2024, 2:08PM","31"
"Oliver McBurnie","SHU","F","Drop","1-bruNO HARD FEELINGS","1","Thu Apr 4, 2024, 2:08PM","31"
"Noni Madueke","CHE","F","Claim","1-The Dentist","1","Thu Apr 4, 2024, 1:36PM","31"
"Gustavo Hamer","SHU","M","Drop","1-The Dentist","1","Thu Apr 4, 2024, 1:36PM","31"
"Reiss Nelson","ARS","F","Drop","1-The Dentist","1","Thu Apr 4, 2024, 12:31PM","32"
"Benoit Badiashile","CHE","D","Claim","1-The Dentist","1","Thu Apr 4, 2024, 12:29PM","31"
"Konstantinos Tsimikas","LIV","D","Drop","1-The Dentist","1","Thu Apr 4, 2024, 12:29PM","31"
"Thomas Partey","ARS","M","Drop","1-OGBEAN'S","1","Thu Apr 4, 2024, 7:29AM","32"
"Kristoffer Ajer","BRF","D","Claim","1-OGBEAN'S","1","Wed Apr 3, 2024, 2:20PM","31"
"Morgan Rogers","MCI/AVL","F","Claim","1-bruNO HARD FEELINGS","1","Wed Apr 3, 2024, 2:20PM","31"
"Kyle Walker","MCI","D","Drop","1-bruNO HARD FEELINGS","1","Wed Apr 3, 2024, 2:20PM","31"
"Joel Veltman","BHA","D","Claim","1-The Dentist","1","Wed Apr 3, 2024, 2:07PM","31"
"Ben Chilwell","CHE","D","Drop","1-The Dentist","1","Wed Apr 3, 2024, 2:07PM","31"
"Emile Smith Rowe","ARS","M","Claim","1-rice cooker","1","Wed Apr 3, 2024, 1:36PM","31"
"Kristoffer Ajer","BRF","D","Drop","1-rice cooker","1","Wed Apr 3, 2024, 1:36PM","31"
"Sergio Reguilon","TOT/MUN/BRF","D","Drop","1-OGBEAN'S","1","Wed Apr 3, 2024, 1:36PM","31"
"Kristoffer Ajer","BRF","D","Claim","1-rice cooker","1","Wed Apr 3, 2024, 1:36PM","31"
"Thomas Partey","ARS","M","Claim","1-OGBEAN'S","1","Wed Apr 3, 2024, 1:35PM","31"
"Kristoffer Ajer","BRF","D","Drop","1-rice cooker","1","Wed Apr 3, 2024, 1:32PM","31"
"Reiss Nelson","ARS","F","Claim","1-The Dentist","1","Wed Apr 3, 2024, 1:22PM","31"
"Noni Madueke","CHE","F","Drop","1-The Dentist","1","Wed Apr 3, 2024, 1:22PM","31"
"Noni Madueke","CHE","F","Claim","1-The Dentist","1","Wed Apr 3, 2024, 12:58PM","31"
"Kenny Tete","FUL","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Tue Apr 2, 2024, 3:13PM","32"
"Will Hughes","CRY","M","Claim","1-john lim","1","Tue Apr 2, 2024, 2:41PM","31"
"Micky van de Ven","TOT","D","Drop","1-john lim","1","Tue Apr 2, 2024, 2:40PM","31"
"Lyle Foster","BUR","F","Claim","1-OGBEAN'S","1","Tue Apr 2, 2024, 2:10PM","31"
"Dango Ouattara","BOU","F","Drop","1-OGBEAN'S","1","Tue Apr 2, 2024, 2:10PM","31"
"Pedro Neto","WOL","F","Drop","1-OGBEAN'S","1","Tue Apr 2, 2024, 2:08PM","31"
"Dango Ouattara","BOU","F","Claim","1-OGBEAN'S","1","Tue Apr 2, 2024, 2:07PM","31"
"Dominic Calvert-Lewin","EVE","F","Drop","1-The Dentist","1","Tue Apr 2, 2024, 2:00PM","31"
"Beto","EVE","F","Claim","1-john lim","1","Tue Apr 2, 2024, 1:50PM","31"
"Timothy Castagne","LEI/FUL","D","Drop","1-john lim","1","Tue Apr 2, 2024, 1:48PM","31"
"Philip Billing","BOU","M","Claim","1-rice cooker","1","Tue Apr 2, 2024, 1:48PM","31"
"Wataru Endo","LIV","M","Drop","1-rice cooker","1","Tue Apr 2, 2024, 1:48PM","31"
"Tosin Adarabioyo","FUL","D","Claim","1 - The Narrative","1","Tue Apr 2, 2024, 1:34PM","31"
"Kenny Tete","FUL","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Apr 2, 2024, 1:31PM","31"
"Felipe","NOT","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Tue Apr 2, 2024, 1:31PM","31"
"Elliot Anderson","NEW","M","Claim","1-Koke Vegas","1","Tue Apr 2, 2024, 1:30PM","31"
"Jack Harrison","LEE/EVE","M,F","Drop","1-Koke Vegas","1","Tue Apr 2, 2024, 1:30PM","31"
"Micky van de Ven","TOT","D","Claim","1-john lim","1","Tue Apr 2, 2024, 1:15PM","31"
"Dara O'Shea","BUR","D","Claim","1 - The Narrative","1","Tue Apr 2, 2024, 1:10PM","31"
"Lewis Hall","CHE/NEW","D","Claim","1-Koke Vegas","1","Tue Apr 2, 2024, 10:49AM","31"
"Leon Chiwome","WOL","F","Claim","1-rice cooker","1","Tue Apr 2, 2024, 8:52AM","31"
"Oliver McBurnie","SHU","F","Claim","1-bruNO HARD FEELINGS","1","Tue Apr 2, 2024, 7:31AM","31"
"Bart Verbruggen","BHA","G","Claim","1-Koke Vegas","1","Mon Apr 1, 2024, 9:54PM","31"
"Jose Sa","WOL","G","Drop","1-Koke Vegas","1","Mon Apr 1, 2024, 9:54PM","31"
"Jose Sa","WOL","G","Claim","1-Koke Vegas","1","Mon Apr 1, 2024, 9:49PM","31"
"Alphonse Areola","WHU","G","Drop","1-Koke Vegas","1","Mon Apr 1, 2024, 9:49PM","31"
"Facundo Buonanotte","BHA","M","Claim","1-Burnley and Old Trafford","1","Mon Apr 1, 2024, 9:16PM","31"
"Nelson Semedo","WOL","D","Claim","1-OGBEAN'S","1","Mon Apr 1, 2024, 9:04PM","31"
"Victor Lindelof","MUN","D","Drop","1-OGBEAN'S","1","Mon Apr 1, 2024, 9:04PM","31"
"Konstantinos Tsimikas","LIV","D","Claim","1-The Dentist","1","Mon Apr 1, 2024, 9:02PM","31"
"Jarell Quansah","LIV","D","Drop","1-The Dentist","1","Mon Apr 1, 2024, 9:02PM","31"
"Victor Lindelof","MUN","D","Claim","1-OGBEAN'S","2","Mon Apr 1, 2024, 9:00PM","31"
"Jacob Murphy","NEW","M","Claim","1-ComeBack Szn","2","Mon Apr 1, 2024, 9:00PM","31"
"Adam Wharton","CRY","M","Drop","1-ComeBack Szn","2","Mon Apr 1, 2024, 9:00PM","31"
"Felipe","NOT","D","Claim","1-Barkley’s Balls Sponsored by Baileys","2","Mon Apr 1, 2024, 9:00PM","31"
"Arijanet Muric","BUR","G","Claim","1-OGBEAN'S","1","Mon Apr 1, 2024, 9:00PM","31"
"David Raya","BRF/ARS","G","Drop","1-OGBEAN'S","1","Mon Apr 1, 2024, 9:00PM","31"
"Ben Brereton","SHU","F","Claim","1-Koke Vegas","1","Mon Apr 1, 2024, 9:00PM","31"
"Harvey Barnes","NEW","M","Claim","1-The Dentist","1","Mon Apr 1, 2024, 9:00PM","31"
"Kristoffer Ajer","BRF","D","Claim","1-rice cooker","1","Mon Apr 1, 2024, 9:00PM","31"
"Nathan Ake","MCI","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Mon Apr 1, 2024, 7:08PM","31"
"Valentino Livramento","NEW","D","Drop","1-OGBEAN'S","1","Mon Apr 1, 2024, 5:53PM","31"
"Benoit Badiashile","CHE","D","Drop","1-rice cooker","1","Mon Apr 1, 2024, 11:35AM","31"
"Moises Caicedo","BHA/CHE","M","Drop","1-rice cooker","1","Mon Apr 1, 2024, 11:35AM","31"
"Alex Moreno","AVL","D","Drop","1-Burnley and Old Trafford","1","Sun Mar 31, 2024, 6:52PM","31"
"Jamaal Lascelles","NEW","D","Drop","1-The Dentist","1","Sun Mar 31, 2024, 11:44AM","31"
"Jarell Quansah","LIV","D","Claim","1-The Dentist","1","Sun Mar 31, 2024, 8:21AM","30"
"Dango Ouattara","BOU","F","Drop","1-The Dentist","1","Thu Mar 28, 2024, 11:05PM","30"
"Konstantinos Tsimikas","LIV","D","Drop","1-Koke Vegas","1","Sun Mar 31, 2024, 8:01AM","30"
"Lorenz Assignon","BUR","D","Drop","1 - The Narrative","1","Sat Mar 30, 2024, 1:01PM","31"
"Calvin Bassey","FUL","D","Drop","1 - The Narrative","1","Sat Mar 30, 2024, 1:01PM","31"
"Sander Berge","BUR","M","Drop","1 - The Narrative","1","Sat Mar 30, 2024, 12:32PM","31"
"Carlton Morris","LUT","F","Drop","1 - The Narrative","1","Sat Mar 30, 2024, 12:32PM","31"
"Tosin Adarabioyo","FUL","D","Drop","1-Koke Vegas","1","Sat Mar 30, 2024, 12:26PM","31"
"Wataru Endo","LIV","M","Claim","1-rice cooker","1","Sat Mar 30, 2024, 12:25PM","30"
"Scott McTominay","MUN","M","Drop","1-rice cooker","1","Sat Mar 30, 2024, 12:25PM","30"
"Harry Wilson","FUL","M","Drop","1-OGBEAN'S","1","Sat Mar 30, 2024, 10:18AM","30"
"Tyler Adams","LEE/BOU","M","Claim","1 - The Narrative","1","Sat Mar 30, 2024, 10:09AM","30"
"Josh Cullen","BUR","M","Claim","1-rice cooker","1","Sat Mar 30, 2024, 10:08AM","30"
"Djordje Petrovic","CHE","G","Claim","1 - The Narrative","1","Sat Mar 30, 2024, 10:07AM","30"
"Matz Sels","NEW/NOT","G","Drop","1 - The Narrative","1","Sat Mar 30, 2024, 10:07AM","30"
"Benoit Badiashile","CHE","D","Claim","1-rice cooker","1","Sat Mar 30, 2024, 10:06AM","30"
"Moises Caicedo","BHA/CHE","M","Claim","1-rice cooker","1","Sat Mar 30, 2024, 10:04AM","30"
"Noni Madueke","CHE","F","Drop","1-rice cooker","1","Sat Mar 30, 2024, 10:03AM","30"
"Giovanni Reyna","NOT","M","Drop","1-rice cooker","1","Sat Mar 30, 2024, 10:03AM","30"
"Raul Jimenez","FUL","F","Drop","1-john lim","1","Sat Mar 30, 2024, 10:02AM","30"
"Marc Cucurella","CHE","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat Mar 30, 2024, 10:02AM","30"
"Micky van de Ven","TOT","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Mar 30, 2024, 10:02AM","30"
"Harvey Elliott","LIV","M","Claim","1-Burnley and Old Trafford","1","Sat Mar 30, 2024, 9:15AM","30"
"Moises Caicedo","BHA/CHE","M","Drop","1-Burnley and Old Trafford","1","Sat Mar 30, 2024, 9:15AM","30"
"Martin Dubravka","NEW","G","Claim","1-john lim","1","Sat Mar 30, 2024, 7:51AM","30"
"Thomas Kaminski","LUT","G","Drop","1-john lim","1","Sat Mar 30, 2024, 7:51AM","30"
"Michail Antonio","WHU","F","Claim","1-Check Complete FC","1","Sat Mar 30, 2024, 7:43AM","30"
"Valentino Livramento","NEW","D","Claim","1-OGBEAN'S","1","Sat Mar 30, 2024, 7:25AM","30"
"Yves Bissouma","TOT","M","Drop","1-OGBEAN'S","1","Sat Mar 30, 2024, 7:25AM","30"
"Caoimhin Kelleher","LIV","G","Claim","1-ComeBack Szn","1","Fri Mar 29, 2024, 6:00PM","30"
"Nelson Semedo","WOL","D","Drop","1-ComeBack Szn","1","Fri Mar 29, 2024, 6:00PM","30"
"David Raya","BRF/ARS","G","Claim","1-OGBEAN'S","1","Fri Mar 29, 2024, 10:06AM","30"
"Arijanet Muric","BUR","G","Drop","1-OGBEAN'S","1","Fri Mar 29, 2024, 10:06AM","30"
"Raul Jimenez","FUL","F","Claim","1-john lim","1","Thu Mar 28, 2024, 10:17PM","30"
"Matty Cash","AVL","D","Drop","1-john lim","1","Thu Mar 28, 2024, 10:15PM","30"
"Neto","BOU","G","Claim","1-rice cooker","1","Wed Mar 27, 2024, 3:20PM","30"
"Emiliano Martinez","AVL","G","Drop","1-rice cooker","1","Wed Mar 27, 2024, 3:20PM","30"
"Giovanni Reyna","NOT","M","Claim","1-rice cooker","1","Wed Mar 27, 2024, 3:16PM","30"
"Aaron Wan-Bissaka","MUN","D","Claim","1-The Dentist","1","Wed Mar 27, 2024, 10:04AM","30"
"Benoit Badiashile","CHE","D","Drop","1-The Dentist","1","Wed Mar 27, 2024, 10:04AM","30"
"Dango Ouattara","BOU","F","Claim","1-The Dentist","1","Wed Mar 27, 2024, 10:01AM","30"
"Benoit Badiashile","CHE","D","Claim","1-The Dentist","1","Wed Mar 27, 2024, 9:59AM","30"
"Willy Boly","NOT","D","Drop","1-The Dentist","1","Wed Mar 27, 2024, 9:52AM","30"
"Ruben Dias","MCI","D","Claim","1-bruNO HARD FEELINGS","1","Wed Mar 27, 2024, 8:35AM","30"
"Axel Disasi","CHE","D","Claim","1-bruNO HARD FEELINGS","1","Wed Mar 27, 2024, 8:34AM","30"
"Konstantinos Tsimikas","LIV","D","Claim","1-Koke Vegas","1","Tue Mar 26, 2024, 4:45PM","30"
"Radu Dragusin","TOT","D","Drop","1-Koke Vegas","1","Tue Mar 26, 2024, 4:45PM","30"
"Noni Madueke","CHE","F","Claim","1-rice cooker","1","Tue Mar 26, 2024, 4:13PM","30"
"John Stones","MCI","D","Drop","1-The Dentist","1","Tue Mar 26, 2024, 4:11PM","30"
"Jamaal Lascelles","NEW","D","Claim","1-The Dentist","1","Thu Mar 21, 2024, 3:42PM","30"
"Kristoffer Ajer","BRF","D","Drop","1-The Dentist","1","Thu Mar 21, 2024, 3:42PM","30"
"Jean-Philippe Mateta","CRY","F","Claim","1-john lim","1","Wed Mar 20, 2024, 5:40PM","30"
"Edson Alvarez","WHU","M","Claim","1-john lim","1","Wed Mar 20, 2024, 5:40PM","30"
"Illia Zabarnyi","BOU","D","Claim","1-john lim","1","Wed Mar 20, 2024, 5:40PM","30"
"Ben Chilwell","CHE","D","Claim","1-The Dentist","1","Wed Mar 20, 2024, 3:04PM","30"
"Konstantinos Mavropanos","ARS/WHU","D","Drop","1-The Dentist","1","Wed Mar 20, 2024, 3:04PM","30"
"Dominic Calvert-Lewin","EVE","F","Claim","1-The Dentist","1","Wed Mar 20, 2024, 3:03PM","30"
"Edson Alvarez","WHU","M","Drop","1-The Dentist","1","Wed Mar 20, 2024, 3:03PM","30"
"John Stones","MCI","D","Claim","1-The Dentist","1","Wed Mar 20, 2024, 8:16AM","30"
"Edson Alvarez","WHU","M","Claim","1-The Dentist","1","Wed Mar 20, 2024, 8:15AM","30"
"Abdoulaye Doucoure","EVE","M","Claim","1-The Dentist","1","Wed Mar 20, 2024, 8:15AM","30"
"Gustavo Hamer","SHU","M","Claim","1-The Dentist","1","Wed Mar 20, 2024, 8:14AM","30"
"Alex Moreno","AVL","D","Claim","1-Burnley and Old Trafford","1","Tue Mar 19, 2024, 9:03PM","30"
"Moises Caicedo","BHA/CHE","M","Claim","1-Burnley and Old Trafford","1","Tue Mar 19, 2024, 9:01PM","30"
"Murillo","NOT","D,M","Drop","1-Burnley and Old Trafford","1","Tue Mar 19, 2024, 9:01PM","30"
"Chris Richards","CRY","D","Claim","1 - The Narrative","3","Tue Mar 19, 2024, 9:00PM","30"
"Adam Wharton","CRY","M","Claim","1-ComeBack Szn","2","Tue Mar 19, 2024, 9:00PM","30"
"Nathan Ake","MCI","D","Claim","1-Barkley’s Balls Sponsored by Baileys","2","Tue Mar 19, 2024, 9:00PM","30"
"Jan-Paul van Hecke","BHA","D","Claim","1-OGBEAN'S","1","Tue Mar 19, 2024, 9:00PM","30"
"Maxime Esteve","BUR","D","Drop","1-OGBEAN'S","1","Tue Mar 19, 2024, 9:00PM","30"
"Carlton Morris","LUT","F","Claim","1 - The Narrative","2","Tue Mar 19, 2024, 9:00PM","30"
"Chris Mepham","BOU","D","Claim","1-ComeBack Szn","1","Tue Mar 19, 2024, 9:00PM","30"
"Ezri Konsa","AVL","D","Drop","1-ComeBack Szn","1","Tue Mar 19, 2024, 9:00PM","30"
"Cody Gakpo","LIV","F","Claim","1-Koke Vegas","1","Tue Mar 19, 2024, 9:00PM","30"
"Micky van de Ven","TOT","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Mar 19, 2024, 9:00PM","30"
"Hwang Hee-Chan","WOL","F","Claim","1-john lim","1","Tue Mar 19, 2024, 9:00PM","30"
"Frank Onyeka","BRF","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Tue Mar 19, 2024, 7:05PM","30"
"Bobby De Cordova-Reid","FUL","F","Drop","1-bruNO HARD FEELINGS","1","Tue Mar 19, 2024, 10:55AM","30"
"Ibrahim Sangare","NOT","M","Drop","1-bruNO HARD FEELINGS","1","Tue Mar 19, 2024, 10:55AM","30"
"Dara O'Shea","BUR","D","Drop","1-bruNO HARD FEELINGS","1","Tue Mar 19, 2024, 10:55AM","30"
"Vitinho","BUR","D","Drop","1-rice cooker","1","Mon Mar 18, 2024, 7:37PM","30"
"Rodrigo Bentancur","TOT","M","Drop","1-rice cooker","1","Mon Mar 18, 2024, 7:37PM","30"
"Harry Toffolo","NOT","D","Drop","1-rice cooker","1","Mon Mar 18, 2024, 7:37PM","30"
"Divock Origi","LIV/NOT","F","Drop","1 - The Narrative","1","Mon Mar 18, 2024, 6:44PM","30"
"Mads Roerslev","BRF","D","Drop","1 - The Narrative","1","Mon Mar 18, 2024, 6:44PM","30"
"Alex Moreno","AVL","D","Drop","1 - The Narrative","1","Mon Mar 18, 2024, 6:44PM","30"
"Ryan Yates","NOT","M","Drop","1-john lim","1","Mon Mar 18, 2024, 8:40AM","30"
"Morgan Rogers","MCI/AVL","F","Drop","1-The Dentist","1","Sun Mar 17, 2024, 9:27PM","30"
"Jordan Clark","LUT","M","Drop","1-The Dentist","1","Sun Mar 17, 2024, 9:26PM","30"
"Edson Alvarez","WHU","M","Drop","1-Burnley and Old Trafford","1","Sun Mar 17, 2024, 12:13PM","30"
"Jacob Bruun Larsen","BUR","F","Drop","1-john lim","1","Sun Mar 17, 2024, 12:11PM","30"
"Sasa Lukic","FUL","M","Drop","1-john lim","1","Sun Mar 17, 2024, 12:11PM","30"
"Issa Kabore","LUT","D","Drop","1-john lim","1","Sun Mar 17, 2024, 12:11PM","30"
"Kurt Zouma","WHU","D","Drop","1-Koke Vegas","1","Sun Mar 17, 2024, 12:09PM","30"
"Morgan Rogers","MCI/AVL","F","Claim","1-The Dentist","1","Sun Mar 17, 2024, 9:31AM","29"
"Jhon Duran","AVL","F","Drop","1-The Dentist","1","Sun Mar 17, 2024, 9:31AM","29"
"Jhon Duran","AVL","F","Claim","1-The Dentist","1","Sun Mar 17, 2024, 8:58AM","29"
"Michail Antonio","WHU","F","Drop","1-The Dentist","1","Sun Mar 17, 2024, 8:58AM","29"
"Michail Antonio","WHU","F","Claim","1-The Dentist","1","Sat Mar 16, 2024, 6:03PM","29"
"Aaron Cresswell","WHU","D","Drop","1-The Dentist","1","Sat Mar 16, 2024, 6:03PM","29"
"Charlie Taylor","BUR","D","Drop","1-The Dentist","1","Sat Mar 16, 2024, 4:42PM","30"
"Adama Traore","WOL/FUL","F","Drop","1-The Dentist","1","Sat Mar 16, 2024, 4:41PM","30"
"Josh Cullen","BUR","M","Drop","1-ComeBack Szn","1","Sat Mar 16, 2024, 3:35PM","30"
"Carlton Morris","LUT","F","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Mar 16, 2024, 1:29PM","30"
"Rodrigo Bentancur","TOT","M","Claim","1-rice cooker","1","Sat Mar 16, 2024, 12:41PM","29"
"Craig Dawson","WOL","D","Drop","1-rice cooker","1","Sat Mar 16, 2024, 12:41PM","29"
"Ezri Konsa","AVL","D","Claim","1-ComeBack Szn","1","Sat Mar 16, 2024, 12:35PM","29"
"Ben Davies","TOT","D","Drop","1-ComeBack Szn","1","Sat Mar 16, 2024, 12:35PM","29"
"Adama Traore","WOL/FUL","F","Claim","1-The Dentist","1","Sat Mar 16, 2024, 12:33PM","29"
"Harrison Reed","FUL","M","Drop","1-The Dentist","1","Sat Mar 16, 2024, 12:33PM","29"
"Ben Davies","TOT","D","Claim","1-ComeBack Szn","1","Sat Mar 16, 2024, 10:43AM","29"
"Giovani Lo Celso","TOT","M","Drop","1-ComeBack Szn","1","Sat Mar 16, 2024, 10:43AM","29"
"Aaron Cresswell","WHU","D","Claim","1-The Dentist","1","Sat Mar 16, 2024, 10:31AM","29"
"Morgan Rogers","MCI/AVL","F","Drop","1-The Dentist","1","Sat Mar 16, 2024, 10:31AM","29"
"Charlie Taylor","BUR","D","Claim","1-The Dentist","1","Sat Mar 16, 2024, 10:22AM","29"
"Taiwo Awoniyi","NOT","F","Drop","1-The Dentist","1","Sat Mar 16, 2024, 10:20AM","29"
"Vitinho","BUR","D","Claim","1-rice cooker","1","Sat Mar 16, 2024, 10:19AM","29"
"Nicolas Dominguez","NOT","M","Drop","1-rice cooker","1","Sat Mar 16, 2024, 10:19AM","29"
"Matz Sels","NEW/NOT","G","Claim","1 - The Narrative","1","Sat Mar 16, 2024, 10:16AM","29"
"Djordje Petrovic","CHE","G","Drop","1 - The Narrative","1","Sat Mar 16, 2024, 10:16AM","29"
"Giovani Lo Celso","TOT","M","Claim","1-ComeBack Szn","1","Sat Mar 16, 2024, 10:14AM","29"
"Matz Sels","NEW/NOT","G","Drop","1-ComeBack Szn","1","Sat Mar 16, 2024, 10:14AM","29"
"Divock Origi","LIV/NOT","F","Claim","1 - The Narrative","1","Sat Mar 16, 2024, 10:12AM","29"
"Danilo","NOT","M","Drop","1 - The Narrative","1","Sat Mar 16, 2024, 10:12AM","29"
"Maxime Esteve","BUR","D","Claim","1-OGBEAN'S","1","Sat Mar 16, 2024, 10:12AM","29"
"Teden Mengi","MUN/LUT","D","Drop","1-OGBEAN'S","1","Sat Mar 16, 2024, 10:12AM","29"
"Jacob Bruun Larsen","BUR","F","Claim","1-john lim","1","Sat Mar 16, 2024, 10:03AM","29"
"Ryan Yates","NOT","M","Claim","1-john lim","1","Sat Mar 16, 2024, 10:02AM","29"
"Arijanet Muric","BUR","G","Claim","1-OGBEAN'S","1","Sat Mar 16, 2024, 10:02AM","29"
"Jan-Paul van Hecke","BHA","D","Drop","1-OGBEAN'S","1","Sat Mar 16, 2024, 10:02AM","29"
"Issa Kabore","LUT","D","Claim","1-john lim","1","Sat Mar 16, 2024, 10:02AM","29"
"Zeki Amdouni","BUR","F","Drop","1-john lim","1","Sat Mar 16, 2024, 10:02AM","29"
"Felipe","NOT","D","Drop","1-john lim","1","Sat Mar 16, 2024, 10:02AM","29"
"Ibrahim Sangare","NOT","M","Claim","1-bruNO HARD FEELINGS","1","Sat Mar 16, 2024, 10:01AM","29"
"Divock Origi","LIV/NOT","F","Drop","1-bruNO HARD FEELINGS","1","Sat Mar 16, 2024, 10:01AM","29"
"Divock Origi","LIV/NOT","F","Claim","1-bruNO HARD FEELINGS","1","Sat Mar 16, 2024, 10:01AM","29"
"Neal Maupay","EVE/BRF","F","Drop","1-bruNO HARD FEELINGS","1","Sat Mar 16, 2024, 10:01AM","29"
"Zeki Amdouni","BUR","F","Claim","1-john lim","1","Sat Mar 16, 2024, 12:11AM","29"
"Harry Wilson","FUL","M","Claim","1-OGBEAN'S","1","Fri Mar 15, 2024, 9:00PM","29"
"Issa Kabore","LUT","D","Drop","1-OGBEAN'S","1","Fri Mar 15, 2024, 9:00PM","29"
"Harrison Reed","FUL","M","Claim","1-The Dentist","1","Fri Mar 15, 2024, 9:24AM","29"
"Tom Cairney","FUL","M","Drop","1-The Dentist","1","Fri Mar 15, 2024, 9:24AM","29"
"Morgan Rogers","MCI/AVL","F","Claim","1-The Dentist","1","Fri Mar 15, 2024, 9:21AM","29"
"Cody Gakpo","LIV","F","Drop","1-The Dentist","1","Fri Mar 15, 2024, 9:21AM","29"
"Neal Maupay","EVE/BRF","F","Claim","1-bruNO HARD FEELINGS","1","Fri Mar 15, 2024, 8:20AM","29"
"Keane Lewis-Potter","BRF","F","Drop","1-bruNO HARD FEELINGS","1","Fri Mar 15, 2024, 8:20AM","29"
"Dara O'Shea","BUR","D","Claim","1-bruNO HARD FEELINGS","1","Fri Mar 15, 2024, 8:17AM","29"
"Joel Veltman","BHA","D","Drop","1-bruNO HARD FEELINGS","1","Fri Mar 15, 2024, 8:17AM","29"
"Bobby De Cordova-Reid","FUL","F","Claim","1-bruNO HARD FEELINGS","1","Fri Mar 15, 2024, 8:13AM","29"
"Beto","EVE","F","Drop","1-bruNO HARD FEELINGS","1","Fri Mar 15, 2024, 8:13AM","29"
"Josh Cullen","BUR","M","Claim","1-ComeBack Szn","1","Thu Mar 14, 2024, 11:07PM","29"
"Gabriel Osho","LUT","D","Drop","1-ComeBack Szn","1","Thu Mar 14, 2024, 11:07PM","29"
"Calvin Bassey","FUL","D","Claim","1 - The Narrative","1","Thu Mar 14, 2024, 9:28PM","29"
"Dominic Calvert-Lewin","EVE","F","Drop","1 - The Narrative","1","Thu Mar 14, 2024, 9:28PM","29"
"Mads Roerslev","BRF","D","Claim","1 - The Narrative","1","Thu Mar 14, 2024, 9:26PM","29"
"Valentino Livramento","NEW","D","Drop","1 - The Narrative","1","Thu Mar 14, 2024, 9:26PM","29"
"Alex Moreno","AVL","D","Claim","1 - The Narrative","1","Thu Mar 14, 2024, 9:26PM","29"
"Chris Richards","CRY","D","Drop","1 - The Narrative","1","Thu Mar 14, 2024, 9:26PM","29"
"Radu Dragusin","TOT","D","Claim","1-Koke Vegas","1","Thu Mar 14, 2024, 9:13PM","29"
"Dara O'Shea","BUR","D","Drop","1-Koke Vegas","1","Thu Mar 14, 2024, 9:13PM","29"
"Issa Kabore","LUT","D","Claim","1-OGBEAN'S","1","Thu Mar 14, 2024, 9:13PM","29"
"Jhon Duran","AVL","F","Drop","1-OGBEAN'S","1","Thu Mar 14, 2024, 9:13PM","29"
"Kurt Zouma","WHU","D","Claim","1-Koke Vegas","1","Thu Mar 14, 2024, 9:09PM","29"
"Harry Wilson","FUL","M","Drop","1-Koke Vegas","1","Thu Mar 14, 2024, 9:09PM","29"
"Tom Cairney","FUL","M","Claim","1-The Dentist","6","Thu Mar 14, 2024, 9:00PM","29"
"Kristoffer Ajer","BRF","D","Claim","1-The Dentist","4","Thu Mar 14, 2024, 9:00PM","29"
"Lorenz Assignon","BUR","D","Claim","1 - The Narrative","5","Thu Mar 14, 2024, 9:00PM","29"
"Willy Boly","NOT","D","Claim","1-The Dentist","3","Thu Mar 14, 2024, 9:00PM","29"
"Danilo","NOT","M","Claim","1 - The Narrative","3","Thu Mar 14, 2024, 9:00PM","29"
"Reece Burke","LUT","D","Claim","1-ComeBack Szn","2","Thu Mar 14, 2024, 9:00PM","29"
"Taiwo Awoniyi","NOT","F","Claim","1-The Dentist","2","Thu Mar 14, 2024, 9:00PM","29"
"Dara O'Shea","BUR","D","Claim","1-Koke Vegas","3","Thu Mar 14, 2024, 9:00PM","29"
"Ansu Fati","BHA","F","Drop","1-Koke Vegas","3","Thu Mar 14, 2024, 9:00PM","29"
"Sander Berge","BUR","M","Claim","1 - The Narrative","2","Thu Mar 14, 2024, 9:00PM","29"
"Jean-Philippe Mateta","CRY","F","Drop","1 - The Narrative","2","Thu Mar 14, 2024, 9:00PM","29"
"David Datro Fofana","CHE/BUR","F","Claim","1-Burnley and Old Trafford","3","Thu Mar 14, 2024, 9:00PM","29"
"Jhon Duran","AVL","F","Claim","1-OGBEAN'S","1","Thu Mar 14, 2024, 9:00PM","29"
"Neto","BOU","G","Drop","1-OGBEAN'S","1","Thu Mar 14, 2024, 9:00PM","29"
